Venue,Event_Name,Description,Start_Date,Start_Time,End_Date,End_Time,Link,City,Image,Privacy,Background
Dr Mark and Cindy Lynn Stadium,Pittsburgh Riverhounds SC at Louisville City FC,,2020-07-01, 19:00:00,,,http://louisville.eventful.com/events/pittsburgh-riverhounds-sc-louisville-city-fc-/E0-001-134045586-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
SOUTHERN KENTUCKY KY - LOUISVILLE 71269,USTA/SOUTHERN KENTUCKY-2020 USTA LEAGUE 40 & Over SOUTHERN COMBO DOUBLES,,2020-07-17, 00:00:00,2020-09-06, 00:00:00,http://louisville.eventful.com/events/ustasouthern-kentucky2020-usta-league-40-ove-/E0-001-134065454-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Seneca Park,Transformus Burn 2020," Transformus 2020 Noon, Thursday July 16th, to Noon, Monday July 20th, 2020 Marvins Mountaintop, Masontown, WV Ticket sales Round One open on 3/1/2020 @ 2pm EST Ticket sales Round Two open on 4/15/2020 @ 7pm EDT *****All sales final, no refunds will be issued***** Gate hours for Transformus Tuesday, 12 noon to 8pm: Theme Camp Setup Crews w/Permission. Wednesday, 10am to 9pm: Theme Camp Members w/Theme Camp Permission. Thursday, 9am to 12 midnight: General Admission. Friday, 9am to 12 midnight: General Admission. Saturday: No New Admissions on Saturday - Gate is Closed Sunday: Gates open at 9am for exodus. Monday: All participants must be off site by 12 noon unless they have received prior permission. Tuesday: All participants with a late exit armband must be off site by noon, no permission will be given to stay longer. Exodus: Sunday, July 19th: Gates reopen at 9am and will stay open Monday, July 20th: Must be out by noon unless approved for late exit, armband needed Tuesday, July 21st: Theme Camp teardown if needed with approval There are no pets allowed. Ice Sales TBD. Bring printed ice ticket, or ID and email address of person who purchased. All Ice Sales revenues are donated to local charities. Are you bringing a large vehicle or art car to Transformus? Please read the FAQ on the website. This year, general entry starts Thursday morning and attendees are allowed to stay until Monday at noon! We are excited to return to Marvins Mountaintop to build Mysteria. Address is Greens Run-Long Hollow, Masontown, WV 26542 Have a theme camp? Your presence is formally requested - we encourage you to BRING YOUR THEME CAMP in all its glory. A lot of you have expressed interest, and we totally want you to do it! Gotta sound camp? Let us know! BRING IT! FAQ on theme camp registration is on the website. More info is available at http://transformus-burn.com/ Follow the event on Facebook at https://www.facebook.com/TransformusBurn/ *****All sales final, no refunds will be issued*****<br> <br> 
",2020-07-16, 11:59:00,2020-07-20, 03:58:00,http://louisville.eventful.com/events/transformus-burn-2020-/E0-001-133154342-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Louisville Slugger Field,Louisville vs. Toledo, INT Baseball,2020-07-16, 19:00:00,,,http://louisville.eventful.com/events/louisville-vs-toledo-/E0-001-132865511-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Nirvana,The Louisville Vibe, ITS ALL ABOUT THE VIBE ON THURSDAYS!!THE LOVE AMBASSADOR PRESENTSLOUISVILLES WEEKLY URBAN ENTERTAINMENT PLATFORM#EVERYTHURSDAYNIGHT WELCOMIN,2020-07-03, 00:00:00,,,http://louisville.eventful.com/events/louisville-vibe-/E0-001-134671829-4@2020070300?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/728/905-1.jpeg_/louisville-vibe-05.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/728/905-1.jpeg_/louisville-vibe-05.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/728/905-1.jpeg_/louisville-vibe-05.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/728/905-1.jpeg_/louisville-vibe-05.jpeg
128
128

",1,1
Walden School,Creativity on Stage,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/creativity-stage-/E0-001-132835425-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Triple Threat Camp ONLINE,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/triple-threat-camp-online-/E0-001-134716271-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Radio Drama Camp ONLINE,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/radio-drama-camp-online-/E0-001-134716870-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Mini Clay Creations Camp ONLINE,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/mini-clay-creations-camp-online-/E0-001-134716322-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
pOCS Arts Center,Acrylic Painting ONLINE,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/acrylic-painting-online-/E0-001-134716676-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Our Savior Lutheran Church,Kaleidoscope Grades 3-5 Our Savior Lutheran,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/kaleidoscope-grades-35-our-savior-lutheran-/E0-001-131953455-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Scene-to-Screen Camp ONLINE,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/scenetoscreen-camp-online-/E0-001-134716614-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Our Savior Lutheran Church,Magical & Mystical Harry Potter Our Savior Lutheran,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/magical-mystical-harry-potter-our-savior-lut-/E0-001-131956233-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Our Savior Lutheran Church,Robotic Car Our Savior Lutheran,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/robotic-car-our-savior-lutheran-/E0-001-131953847-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Our Savior Lutheran Church,Stop Motion-Marvel Our Savior Lutheran,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/stop-motionmarvel-our-savior-lutheran-/E0-001-131956010-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
`Ford Piquette Avenue Plant,"Online SAFe\u00ae Advanced Scrum Master with SASM Certification Louisville,Kentucky (Weekend)", SAFe\u00ae Advanced Scrum Master<br>Advancing Scrum Master servant leadership with the Scaled Agile Framework (SAFe\u00ae) with SAFe\u00ae Advanced Scrum Mast,2020-07-12, 17:00:00,,,http://louisville.eventful.com/events/online-safeu00ae-advanced-scrum-master-sasm-c-/E0-001-134733586-7?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/692/416-6.png_/online-safeu00ae-advanced-scrum-master-sasm-certif-16.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/692/416-6.png_/online-safeu00ae-advanced-scrum-master-sasm-certif-16.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/692/416-6.png_/online-safeu00ae-advanced-scrum-master-sasm-certif-16.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/692/416-6.png_/online-safeu00ae-advanced-scrum-master-sasm-certif-16.png
128
128

",1,1
`Ford Piquette Avenue Plant,Amazing Let\u2019s Roam Louisville Scavenger Hunt: Rounding The Bases!," Stop stressing about finding the perfect group activity for adults and sign up for a Louisville scavenger hunt today! On Rounding The Bases,",2020-07-19, 22:00:00,,,http://louisville.eventful.com/events/amazing-letu2019s-roam-louisville-scavenger-h-/E0-001-134488967-7?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/678/874-0.jpeg_/amazing-letu2019s-roam-louisville-scavenger-hunt-r-74.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/678/874-0.jpeg_/amazing-letu2019s-roam-louisville-scavenger-hunt-r-74.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/678/874-0.jpeg_/amazing-letu2019s-roam-louisville-scavenger-hunt-r-74.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/678/874-0.jpeg_/amazing-letu2019s-roam-louisville-scavenger-hunt-r-74.jpeg
128
128

",1,1
Zanzabar,Maggie Rose,,2020-07-10, 21:00:00,,,http://louisville.eventful.com/events/maggie-rose-/E0-001-134361748-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/009/597/352-5.jpeg_/maggie-rose-52.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/009/597/352-5.jpeg_/maggie-rose-52.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/009/597/352-5.jpeg_/maggie-rose-52.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/009/597/352-5.jpeg_/maggie-rose-52.jpeg
128
128

",1,1
Business Centre /Meeting Room,"PMI-RMP Classroom Training in Louisville, KY"," Key Features: 3 days classroom training 30 PDUs on completion of 3 days of classroom training 100% Money Back Guarantee* Group discussions facilitated through classroom training Downloadable e-book Assistance with the PMI –RMP® Exam Application Form with end-to-end support via phone, email and chat About PMI-RMP® PMI RMP Training is subject to risks at every stage, and these risks can have severe consequences on the execution and smooth progress of a project. It is of critical importance that project planning should include identification of potential risks, measures to mitigate threats as well as appropriate responses that curtail the harmful effects of such risks. Project Risk Manager is a role that has been created to fill the real need for a professional who can assess, analyze and curb risks while still maintaining a basic level of competence in project management. The Project Management Institute-Risk Management Professional (PMI-RMP)® credential recognizes a Risk Managers expertise in identifying project risks and mitigating threats, while making the best of available opportunities. It also certifies that you have basic knowledge and skills in all areas of project management. Our 3-day course will hand hold you through Project Risk Management concepts, tools, techniques and processes based on different project and risk management standards including but not limited to the Project Management Institute(PMI)®standards and will train you for a specialized role in project risk management. It will also prepare you to sit for the PMI-RMP® certification Exam.   What you take away from the training! Learn to apply risk management practices for greater competitive advantage Understand how to identify and measure risks in project development and implementation Quantify and create risk response strategies to deliver products that meet stakeholder expectations Use a proactive and focused approach to preventing problems, rather than dealing with them once they occur Increased visibility within the company Greater career growth Who should apply? This course would provide value to: Risk Managers and Analysts Project Managers, Associate Project Managers, IT Project Managers, and Senior Project Managers Project Coordinators, Project Analysts, and Project Leaders Team Leaders, Product Managers, Program Managers, Project Sponsors, and Project Team Members seeking PMI-RMP® certification Eligibility: To apply for the PMI-RMP® Credential, you need to have either: A Secondary Degree (High School Diploma, Associate’s Degree, or the Global equivalent), with at least 4,500 hours of Project Risk Management experience and 40 hours of Project Risk Management education OR A Four-year (4 year) degree with at least 3,000 hours of Project Risk Management experience and 30 hours of Project Risk Management education Process: To apply for the PMI-Risk Management Professional Certification Exam: Register and log in to PMI’s Online System to get started. You can always refer the PMI-RMP Handbook for further information. Please note that as part of PMI’s Continuing Certification Requirements program, a PMI-RMP® credential holder will need to earn 30 PDUs in the specialized area of project risk management per three-year cycle. PMI-RMP® Training - Course Agenda Introduction to Project Risk Management Overview and Risk Management Fundamentals as per PMBOK5 Plan Risk Management Risk Management Plan Contents Create Risk Management Plan Communication and Leadership Building a Communication Foundation General Management and Leadership Skills Stakeholder Management Identify Risks Tools and Techniques for Identifying Risks Contents of The Risk Register Risk Register’s Update Cycle Risk Analysis Perform Qualitative Risk Analysis Perform Quantitative Risk Analysis Risk Analysis Outputs Plan Risk Responses Risk Response Planning Risk Response Strategies Risk Response Planning Outputs Risk Monitoring and Control   Why Vistaedutech? Vistaedutech&#39;s training is the best and value for time & money invested. We stand out because our customers Get trained at the best price compared to other training providers. Get trained by the best trainer in the industry. Get accesses to course specific learning videos. Get 100% Money back guarantee*. Training Fee Early Bird:  Booking at least one month prior to the class start date Training Venue Venue will be confirmed to the classroom participants one week prior to the workshop start date and online participants will get the session attendance link before 4- 5 days of the training start date. Venue is finalized one week prior to the start date so that we can accommodate last minute rescheduling from the participants and we do not incur additional cost for rescheduling or cancellation. For more details please contact us at +1 (302) 232-5303 or e-mail info@vistaedutech.com *To know more about the discount and money back, Contact us on chat, email or phone.   ",2020-07-22, 09:00:00,,,http://louisville.eventful.com/events/pmirmp-classroom-train-/E0-001-129065922-5@2020072209?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/560/158-8.jpeg_/pmirmp-classroom-training-louisville-k-58.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/044/560/158-8.jpeg_/pmirmp-classroom-training-louisville-k-58.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/560/158-8.jpeg_/pmirmp-classroom-training-louisville-k-58.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/044/560/158-8.jpeg_/pmirmp-classroom-training-louisville-k-58.jpeg
128
128

",1,1
"Louisville, Kentucky, United States","PMI-ACP Classroom Training in Louisville, KY"," Key Features: 3 Day of In-Person Boot camp 90 day Access to PMI® Approved Courseware 2 Simulation Tests End-of-Chapter Quizzes 21 Contact Hours Certificate Dedicated Learning Consultant for PMI® application Access to Weekly Webinars 100% Money Back Guarantee*   About PMI-ACP® Studye Times PMI-ACP® Agile Certified Professional training program certification is designed and developed by global panel of PMI® expert instructors as per PMI® guidelines to empower our participants in becoming an versatile agile professional and expertise in Kanban, Lean, Scrum, extreme programming (XP). Our training program will not only help you in passing the certification exam in 1st attempt, our instructors will assist you enhance the skills you would need to manage, execute and deliver projects successfully. PMI ACP® application process is easy to complete and we recommend our participants to start the filling the application immediately after the enrolment and if you need any assistance our instructor will assist during the class or get in touch with Studye Times support team.   What you take away from the training! Complete understanding of the processes of Agile Project management. Learn about the Professional Responsibilities concerning Agile Project Management. Learn about the key Agile Project management processes of Product Backlog, Sprint Planning, Sprint Reviews and Retrospectives, Along with other factors such as Prioritization using different techniques Learn about the Agile Project phases, Agile life cycle and Stakeholders, Key Agile Management skills and the social-economic-environmental influences. Ascertain their level of readiness for taking the PMI ACP® Examination Get guidelines on filling up the PMI ACP® Application form   PMI-ACP® (Agile Certified Practitioner) Training - Course Agenda Lesson 1: PMI-ACP® Course Preview Lesson 2: Introduction to Agile Lesson 3: Agile Methodologies Lesson 4: Communication Lesson 5: Agile Planning, Monitoring, and Adopting: Part 1 Lesson 6: Agile Planning, Monitoring, and Adopting: Part 2 Lesson 7: Agile Planning, Monitoring, and Adopting: Part 3 Lesson 8: Agile Estimation: Part 1 Lesson 9: Agile Estimation: Part 2 Lesson 10: Agile Analysis and Design Lesson 11: Agile Quality Lesson 12: Soft Skills Negotiation Lesson 13: Value - Based Prioritization Lesson 15: Agile Metrics Lesson 16: Agile Value Stream Analysis Lesson 17: Knowledge and Skills: Part 1 Lesson 18: Knowledge and Skills: Part 2 Lesson 19: Knowledge and Skills: Part 3 Lesson 20: Knowledge and Skills: Part 4   Why Studye Times? Studye Times training is the best and value for time & money invested. We stand out because our customers Get trained at the best price compared to other training providers. Get trained by the best trainer in the industry. Get accesses to course specific learning videos. Get 100% Money back guarantee*. Training Fee Early Bird:  Booking at least one month prior to the class start date   Training Venue Venue will be confirmed to the classroom participants one week prior to the workshop start date and online participants will get the session attendance link before 4- 5 days of the training start date. Venue is finalized one week prior to the start date so that we can accommodate last minute rescheduling from the participants and we do not incur additional cost for rescheduling or cancellation. For more details please contact us at eventbrite@studyet.com   *We also provide the corporate training at any remote location, if you have group Participants. It can be conducted at your company premises on your preferred dates.   *To know more about the discount and money back, Contact us on chat or email     ",2020-07-22, 09:00:00,,,http://louisville.eventful.com/events/pmiacp-classroom-train-/E0-001-129843250-9@2020072209?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/797/602-4.png_/pmiacp-classroom-training-louisville-k-02.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/044/797/602-4.png_/pmiacp-classroom-training-louisville-k-02.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/797/602-4.png_/pmiacp-classroom-training-louisville-k-02.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/044/797/602-4.png_/pmiacp-classroom-training-louisville-k-02.png
128
128

",1,1
Business Funding Agency Kentucky,Own Business Funding Agency Louisville KC, START YOUR OWN BUSINESS FUNDING AGENCY,2020-07-01, 20:00:00,,,http://louisville.eventful.com/events/own-business-funding-a-/E0-001-134529410-4@2020070120?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/683/640-9.png_/own-business-funding-agency-louisville-40.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/683/640-9.png_/own-business-funding-agency-louisville-40.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/683/640-9.png_/own-business-funding-agency-louisville-40.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/683/640-9.png_/own-business-funding-agency-louisville-40.png
128
128

",1,1
OCS Arts Center,Musical Theatre Dance 1 (Ages 8 & up),,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/musical-theatre-dance-1-ages-8-up-/E0-001-133551555-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Jazz/Tap (Ages 8-11),,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/jazztap-ages-811-/E0-001-133536971-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Adult Tap,,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/adult-tap-/E0-001-133532849-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Summer Jr. Orchestra,,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/summer-jr-orchestra-/E0-001-133545146-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,New Student Private Lessons,,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/new-student-private-lessons-/E0-001-133555709-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
OCS Arts Center,Ballet/Tap (Ages 6-10),,2020-06-15, 00:00:00,2020-08-07, 00:00:00,http://louisville.eventful.com/events/ballettap-ages-610-/E0-001-133548699-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Louisville Palace Parking,Squeeze Parking,,2020-07-25, 20:01:00,,,http://louisville.eventful.com/events/squeeze-parking-/E0-001-133577663-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Louisville Palace,KALEO - Fight or Flight Tour,,2021-05-07, 19:00:00,,,http://louisville.eventful.com/events/kaleo-fight-flight-tour-/E0-001-133924160-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/018/952/685-5.jpeg_/kaleo-85.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/018/952/685-5.jpeg_/kaleo-85.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/018/952/685-5.jpeg_/kaleo-85.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/018/952/685-5.jpeg_/kaleo-85.jpeg
128
128

",1,1
Louisville,Heal Your Binge Eating and Lifelong Dieting [FREE ONLINE EVENT]," [FREE ONLINE EVENT] This event is for anyone who feels out of control with food and who struggles with binge eating, overeating, emotional e",2020-07-22, 20:00:00,,,http://louisville.eventful.com/events/heal-your-binge-eating-and-lifelong-dieting-f-/E0-001-134734985-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/680/947-8.jpeg_/heal-your-binge-eating-and-lifelong-dieting-free-o-47.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/680/947-8.jpeg_/heal-your-binge-eating-and-lifelong-dieting-free-o-47.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/680/947-8.jpeg_/heal-your-binge-eating-and-lifelong-dieting-free-o-47.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/680/947-8.jpeg_/heal-your-binge-eating-and-lifelong-dieting-free-o-47.jpeg
128
128

",1,1
BU Surf Center,2020 July Week 3 (PM 2nd-3rd Grade),,2020-07-27, 00:00:00,2020-07-31, 00:00:00,http://louisville.eventful.com/events/2020-july-week-3-pm-2nd3rd-grade-/E0-001-134790365-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Knights Hall,Bellarmine Basketball Skills Camp 4,,2020-07-27, 00:00:00,2020-07-31, 00:00:00,http://louisville.eventful.com/events/bellarmine-basketball-skills-camp-4-/E0-001-132712017-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
